date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:56	39291/39291	---MCZ	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Oct%202025%2021:36:55%20GMT	http://localhost:3000/	_site/localhost_3000/index.html	(from )
21:36:57	27684/27684	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:36:54%20GMT	http://localhost:3000/robots.txt		(from )
21:36:59	203614/203614	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:36:58%20GMT	http://localhost:3000/introduction	_site/localhost_3000/introduction.html	(from http://localhost:3000/)
21:37:04	167352/167352	---MCZ	200	added ('OK')	text/css	etag:W/%2228db8-19a36e75a78%22	http://localhost:3000/_next/static/css/7e0cef72d7a71f91.css	_site/localhost_3000/_next/static/css/7e0cef72d7a71f91.css	(from http://localhost:3000/introduction)
21:37:04	4179/4179	---MCZ	200	added ('OK')	text/css	etag:W/%221053-19a36e75a78%22	http://localhost:3000/_next/static/css/4069a921a674a7ba.css	_site/localhost_3000/_next/static/css/4069a921a674a7ba.css	(from http://localhost:3000/introduction)
21:37:05	13042/13042	---MCZ	200	added ('OK')	text/css	etag:W/%2232f2-19a36e75a78%22	http://localhost:3000/_next/static/css/89c65166306922ce.css	_site/localhost_3000/_next/static/css/89c65166306922ce.css	(from http://localhost:3000/introduction)
21:37:07	79564/79564	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:36:59%20GMT	http://localhost:3000/logo/light.svg	_site/localhost_3000/logo/light.html	(from http://localhost:3000/introduction)
21:37:07	79558/79558	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:00%20GMT	http://localhost:3000/logo/dark.svg	_site/localhost_3000/logo/dark.html	(from http://localhost:3000/introduction)
21:37:07	79606/79606	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:01%20GMT	http://localhost:3000/images/hero-light.svg	_site/localhost_3000/images/hero-light.html	(from http://localhost:3000/introduction)
21:37:07	79600/79600	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:02%20GMT	http://localhost:3000/images/hero-dark.svg	_site/localhost_3000/images/hero-dark.html	(from http://localhost:3000/introduction)
21:37:08	79542/79542	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:06%20GMT	http://localhost:3000/sitemap.xml	_site/localhost_3000/sitemap.html	(from http://localhost:3000/introduction)
21:37:11	397978/397978	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:07%20GMT	http://localhost:3000/api-reference/users/list	_site/localhost_3000/api-reference/users/list.html	(from http://localhost:3000/introduction)
21:37:12	495041/495041	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:08%20GMT	http://localhost:3000/guides/webhooks	_site/localhost_3000/guides/webhooks.html	(from http://localhost:3000/introduction)
21:37:12	39368/39368	---MCZ	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Oct%202025%2021:37:11%20GMT	http://localhost:3000/api-reference	_site/localhost_3000/api-reference.d.delayed	(from http://localhost:3000/introduction)
21:37:13	25844/25844	---M--	200	added ('OK')	font/woff2	etag:W/%2264f4-19a36e75a78%22	http://localhost:3000/_next/static/media/ba9851c3c22cd980-s.woff2	_site/localhost_3000/_next/static/media/ba9851c3c22cd980-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:13	18744/18744	---M--	200	added ('OK')	font/woff2	etag:W/%224938-19a36e75a78%22	http://localhost:3000/_next/static/media/21350d82a1f187e9-s.woff2	_site/localhost_3000/_next/static/media/21350d82a1f187e9-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:14	382083/382083	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:09%20GMT	http://localhost:3000/quickstart	_site/localhost_3000/quickstart.html	(from http://localhost:3000/introduction)
21:37:14	11272/11272	---M--	200	added ('OK')	font/woff2	etag:W/%222c08-19a36e75a78%22	http://localhost:3000/_next/static/media/c5fe6dc8356a8c31-s.woff2	_site/localhost_3000/_next/static/media/c5fe6dc8356a8c31-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:15	19044/19044	---M--	200	added ('OK')	font/woff2	etag:W/%224a64-19a36e75a78%22	http://localhost:3000/_next/static/media/19cfc7226ec3afaa-s.woff2	_site/localhost_3000/_next/static/media/19cfc7226ec3afaa-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:16	10280/10280	---M--	200	added ('OK')	font/woff2	etag:W/%222828-19a36e75a78%22	http://localhost:3000/_next/static/media/df0a9ae256c0569c-s.woff2	_site/localhost_3000/_next/static/media/df0a9ae256c0569c-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:17	290743/290743	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:10%20GMT	http://localhost:3000/authentication	_site/localhost_3000/authentication.html	(from http://localhost:3000/introduction)
21:37:17	85272/85272	---M--	200	added ('OK')	font/woff2	etag:W/%2214d18-19a36e75a78%22	http://localhost:3000/_next/static/media/8e9860b6e62d6359-s.woff2	_site/localhost_3000/_next/static/media/8e9860b6e62d6359-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:19	48432/48432	---M--	200	added ('OK')	font/woff2	etag:W/%22bd30-19a36e75a78%22	http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2	_site/localhost_3000/_next/static/media/e4af272ccee01ff0-s.p.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:19	2020/2020	---M--	200	added ('OK')	font/woff2	etag:W/%227e4-19a36e75a78%22	http://localhost:3000/_next/static/media/886030b0b59bc5a7-s.woff2	_site/localhost_3000/_next/static/media/886030b0b59bc5a7-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:20	12064/12064	---M--	200	added ('OK')	font/woff2	etag:W/%222f20-19a36e75a78%22	http://localhost:3000/_next/static/media/0aa834ed78bf6d07-s.woff2	_site/localhost_3000/_next/static/media/0aa834ed78bf6d07-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:21	9084/9084	---M--	200	added ('OK')	font/woff2	etag:W/%22237c-19a36e75a78%22	http://localhost:3000/_next/static/media/67957d42bae0796d-s.woff2	_site/localhost_3000/_next/static/media/67957d42bae0796d-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:22	7468/7468	---M--	200	added ('OK')	font/woff2	etag:W/%221d2c-19a36e75a78%22	http://localhost:3000/_next/static/media/f911b923c6adde36-s.woff2	_site/localhost_3000/_next/static/media/f911b923c6adde36-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:23	15204/15204	---M--	200	added ('OK')	font/woff2	etag:W/%223b64-19a36e75a78%22	http://localhost:3000/_next/static/media/939c4f875ee75fbb-s.woff2	_site/localhost_3000/_next/static/media/939c4f875ee75fbb-s.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:24	40480/40480	---M--	200	added ('OK')	font/woff2	etag:W/%229e20-19a36e75a78%22	http://localhost:3000/_next/static/media/bb3ef058b751a6ad-s.p.woff2	_site/localhost_3000/_next/static/media/bb3ef058b751a6ad-s.p.woff2	(from http://localhost:3000/_next/static/css/4069a921a674a7ba.css)
21:37:38	457426/457426	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:26%20GMT	http://localhost:3000/api-reference/users/retrieve	_site/localhost_3000/api-reference/users/retrieve.html	(from http://localhost:3000/api-reference/users/list)
21:37:40	457414/457414	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:27%20GMT	http://localhost:3000/api-reference/users/update	_site/localhost_3000/api-reference/users/update.html	(from http://localhost:3000/api-reference/users/list)
21:37:41	457414/457414	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:28%20GMT	http://localhost:3000/api-reference/users/delete	_site/localhost_3000/api-reference/users/delete.html	(from http://localhost:3000/api-reference/users/list)
21:37:41	0/-1	---M--	307	error ('')			http://localhost:3000/api-reference	_site/localhost_3000/api-reference.25.delayed	(from http://localhost:3000/guides/webhooks)
21:37:43	457414/457414	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:29%20GMT	http://localhost:3000/api-reference/payments/list	_site/localhost_3000/api-reference/payments/list.html	(from http://localhost:3000/api-reference/users/list)
21:37:43	0/-1	---M--	307	error ('')			http://localhost:3000/api-reference	_site/localhost_3000/api-reference.27.delayed	(from http://localhost:3000/quickstart)
21:37:44	457426/457426	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:30%20GMT	http://localhost:3000/api-reference/payments/create	_site/localhost_3000/api-reference/payments/create.html	(from http://localhost:3000/api-reference/users/list)
21:37:46	457438/457438	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:31%20GMT	http://localhost:3000/api-reference/payments/retrieve	_site/localhost_3000/api-reference/payments/retrieve.html	(from http://localhost:3000/api-reference/users/list)
21:37:46	454549/454549	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:32%20GMT	http://localhost:3000/guides/rate-limits	_site/localhost_3000/guides/rate-limits.html	(from http://localhost:3000/guides/webhooks)
21:37:46	782644/782644	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:25%20GMT	http://localhost:3000/api-reference/users/create	_site/localhost_3000/api-reference/users/create.html	(from http://localhost:3000/api-reference/users/list)
21:37:51	454519/454519	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:39%20GMT	http://localhost:3000/guides/errors	_site/localhost_3000/guides/errors.html	(from http://localhost:3000/guides/webhooks)
21:37:52	454507/454507	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Oct%202025%2021:37:40%20GMT	http://localhost:3000/guides/sdks	_site/localhost_3000/guides/sdks.html	(from http://localhost:3000/guides/webhooks)
